coo: 54.99_73.37;E 00:00:00;A 00:00:00;E 01:00:00;A 01:00:00;E 02:00:00;A 02:00:00;E 03:00:00;A 03:00:00;E 04:00:00;A 04:00:00;E 05:00:00;A 05:00:00;E 06:00:00;A 06:00:00;E 07:00:00;A 07:00:00;E 08:00:00;A 08:00:00;E 09:00:00;A 09:00:00;E 10:00:00;A 10:00:00;E 11:00:00;A 11:00:00;E 12:00:00;A 12:00:00;E 13:00:00;A 13:00:00;E 14:00:00;A 14:00:00;E 15:00:00;A 15:00:00;E 16:00:00;A 16:00:00;E 17:00:00;A 17:00:00;E 18:00:00;A 18:00:00;E 19:00:00;A 19:00:00;E 20:00:00;A 20:00:00;E 21:00:00;A 21:00:00;E 22:00:00;A 22:00:00;E 23:00:00;A 23:00:00;
2018-01-01;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;2.10;137.24;7.20;150.11;10.58;163.65;11.98;177.65;11.28;191.72;8.55;205.45;3.99;218.55;--;--;--;--;--;--;--;--;--;--;--;--;--;--;
2018-01-02;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;2.14;137.10;7.25;149.98;10.65;163.52;12.07;177.53;11.38;191.62;8.66;205.37;4.12;218.49;--;--;--;--;--;--;--;--;--;--;--;--;--;--;
2018-01-03;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;2.18;136.97;7.30;149.84;10.72;163.40;12.16;177.42;11.49;191.52;8.78;205.29;4.24;218.43;--;--;--;--;--;--;--;--;--;--;--;--;--;--;
2018-01-04;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;2.22;136.83;7.37;149.71;10.80;163.28;12.26;177.31;11.61;191.43;8.91;205.21;4.38;218.37;--;--;--;--;--;--;--;--;--;--;--;--;--;--;
2018-01-05;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;2.27;136.69;7.44;149.58;10.89;163.15;12.36;177.20;11.73;191.34;9.04;205.14;4.52;218.32;--;--;--;--;--;--;--;--;--;--;--;--;--;--;
2018-01-06;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;2.34;136.55;7.51;149.44;10.99;163.03;12.48;177.09;11.85;191.25;9.18;205.07;4.67;218.27;--;--;--;--;--;--;--;--;--;--;--;--;--;--;
2018-01-07;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;2.40;136.40;7.60;149.31;11.09;162.90;12.60;176.99;11.99;191.16;9.33;205.01;4.82;218.22;--;--;--;--;--;--;--;--;--;--;--;--;--;--;
2018-01-08;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;2.48;136.26;7.69;149.17;11.20;162.78;12.72;176.88;12.13;191.08;9.48;204.95;4.98;218.18;--;--;--;--;--;--;--;--;--;--;--;--;--;--;
2018-01-09;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;2.56;136.11;7.79;149.03;11.32;162.66;12.86;176.78;12.28;191.00;9.64;204.89;5.15;218.15;--;--;--;--;--;--;--;--;--;--;--;--;--;--;
2018-01-10;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;2.65;135.96;7.90;148.90;11.44;162.54;13.00;176.67;12.44;190.92;9.80;204.83;5.32;218.11;-0.69;230.67;--;--;--;--;--;--;--;--;--;--;--;--;
