Time,MinTemp,Cloudness,Qout,24h out,Qd,%,Qf,Qbs a,Qbs w,Qbs s,% bs a/d,% bs w/d,% bs s/d,% f/d,Qhwp,% hw
1,-1.5E+01,81,2.6222837200000004E+02,6.293480928000001E+03,2.135499149239562E+03,3.3931923742528924E-01,1.5472255254976071E+03,1.8554293442511394E+03,2.0442195405190996E+03,0E+00,1.3114957460327414E-01,4.2743921838117524E-02,1E+00,2.754735931182344E-01,4.96E+03,4.3054418331442784E-01
2,-1.7E+01,88,2.772128504E+02,6.6531084095999995E+03,1.34741863943171E+03,2.0252467816208636E-01,9.782969384883295E+02,1.1718711656103883E+03,1.2905647714064876E+03,0E+00,1.3028428484213414E-01,4.219465751876595E-02,1E+00,2.739473020048633E-01,4.96E+03,2.7165698375639313E-01
3,-1.8E+01,88,2.847050896E+02,6.8329221504E+03,1.3461578935101093E+03,1.9701057086261478E-01,9.794279424673734E+02,1.1719328881317113E+03,1.290083123390624E+03,0E+00,1.294239005827957E-01,4.165541827583854E-02,1E+00,2.724271445502479E-01,4.96E+03,2.7140280111090914E-01
4,-2E+01,84,2.99689568E+02,7.192549632E+03,1.7931095079489965E+03,2.4930095719762096E-01,1.307438407005876E+03,1.562759801928953E+03,1.7194738503476995E+03,0E+00,1.2846382499166106E-01,4.106590103664287E-02,1E+00,2.7085412173104995E-01,4.96E+03,3.6151401369939445E-01
5,-2E+01,91,2.99689568E+02,7.192549632E+03,1.0075166871282948E+03,1.400778220070675E-01,7.361576788808393E+02,8.790862796161423E+02,9.667478475351719E+02,0E+00,1.274722385772242E-01,4.046467925938339E-02,1E+00,2.6933450504021417E-01,4.96E+03,2.0312836434038203E-01
6,-1.8E+01,83,2.847050896E+02,6.8329221504E+03,1.9009542727165694E+03,2.782051706245896E-01,1.3919380118533868E+03,1.66064430798329E+03,1.8252413798893635E+03,0E+00,1.2641543680578027E-01,3.9828886951082686E-02,1E+00,2.6776880862882096E-01,4.96E+03,3.83256909821889E-01
7,-1.7E+01,82,2.772128504E+02,6.6531084095999995E+03,2.0103401040059225E+03,3.0216554131376144E-01,1.47523338178844E+03,1.7584238337642237E+03,1.9315815941016047E+03,0E+00,1.2531027448525534E-01,3.9176709327630184E-02,1E+00,2.661772110854264E-01,4.96E+03,4.053105048399037E-01
8,-1.8E+01,75,2.847050896E+02,6.8329221504E+03,2.788716366799292E+03,4.0812939258147996E-01,2.0507386870931105E+03,2.4424952419113047E+03,2.6813487356325977E+03,0E+00,1.2415071285480254E-01,3.850073547993112E-02,1E+00,2.6462988079106237E-01,4.96E+03,5.622412029837281E-01
9,-1.8E+01,65,2.847050896E+02,6.8329221504E+03,3.898878361212764E+03,5.706018999476707E-01,2.87339114560925E+03,3.4196170533289314E+03,3.7515272476892465E+03,0E+00,1.2292286742045376E-01,3.779320611522826E-02,1E+00,2.630210846805006E-01,4.96E+03,7.860641857283799E-01
10,-1.6E+01,76,2.697206112E+02,6.4732946688E+03,2.6701146519999747E+03,4.124815551606818E-01,1.972060374044497E+03,2.34527101320658E+03,2.5711425978186517E+03,0E+00,1.2165906005200175E-01,3.706659341657522E-02,1E+00,2.614323236766705E-01,4.96E+03,5.383295669354787E-01
