Time,Cloudness,MaxWindSpeed,MinWindSpeed,MaxDayTemp,MinDayTemp
1,81.000,5.800,3.600,-15.000,-15.000
2,88.000,5.400,3.200,-15.000,-17.000
3,88.000,6.200,3.300,-16.000,-18.000
4,84.000,6.200,3.500,-18.000,-20.000
5,91.000,6.000,3.800,-17.000,-20.000
6,83.000,5.600,4.100,-15.000,-18.000
7,82.000,5.300,3.000,-15.000,-17.000
8,75.000,4.400,2.600,-16.000,-18.000
9,65.000,5.000,2.600,-15.000,-18.000
10,76.000,5.200,2.800,-12.000,-16.000
11,84.000,4.800,3.000,-13.000,-14.000
12,97.000,5.100,3.300,-13.000,-15.000
13,96.000,6.200,3.900,-12.000,-15.000
14,89.000,5.800,3.200,-11.000,-14.000
15,73.000,5.000,2.600,-14.000,-15.000
16,91.000,5.100,2.700,-14.000,-16.000
17,70.000,4.700,2.300,-18.000,-20.000
18,76.000,5.100,3.500,-17.000,-20.000
19,78.000,5.800,3.500,-15.000,-16.000
20,73.000,4.900,2.700,-15.000,-18.000
21,76.000,5.400,3.400,-17.000,-18.000
22,67.000,5.800,3.700,-15.000,-18.000
23,71.000,5.400,4.100,-14.000,-16.000
24,81.000,5.500,3.000,-14.000,-18.000
25,82.000,5.300,2.600,-16.000,-18.000
26,80.000,6.700,3.500,-13.000,-17.000
27,75.000,5.800,3.200,-18.000,-18.000
28,78.000,4.700,2.700,-17.000,-21.000
29,96.000,4.500,2.500,-16.000,-18.000
30,74.000,4.800,3.000,-18.000,-18.000
31,83.000,5.100,3.100,-15.000,-20.000
32,90.000,5.600,2.700,-15.000,-17.000
33,86.000,5.400,3.300,-16.000,-18.000
34,93.000,6.200,3.900,-15.000,-18.000
35,91.000,6.100,3.700,-15.000,-18.000
36,97.000,5.700,2.400,-14.000,-19.000
37,93.000,5.300,2.800,-13.000,-17.000
38,96.000,4.700,2.600,-15.000,-18.000
39,86.000,5.000,2.900,-15.000,-17.000
40,71.000,4.800,2.600,-15.000,-18.000
41,85.000,5.800,3.200,-16.000,-18.000
42,77.000,5.300,2.800,-15.000,-18.000
43,94.000,5.600,3.200,-13.000,-15.000
44,93.000,4.900,2.800,-14.000,-18.000
45,81.000,5.400,2.700,-14.000,-16.000
46,82.000,5.500,3.300,-14.000,-19.000
47,87.000,5.700,3.200,-13.000,-17.000
48,95.000,5.800,3.400,-11.000,-16.000
49,92.000,7.100,3.900,-11.000,-14.000
50,90.000,6.000,3.100,-15.000,-16.000
51,84.000,5.000,2.600,-15.000,-18.000
52,94.000,5.500,3.200,-15.000,-19.000
53,81.000,5.200,2.900,-15.000,-18.000
54,88.000,5.600,3.600,-14.000,-18.000
55,85.000,6.200,4.100,-15.000,-18.000
56,78.000,5.800,2.900,-14.000,-18.000
57,79.000,6.200,3.500,-13.000,-16.000
58,75.000,6.000,3.500,-11.000,-16.000
59,89.000,6.200,3.500,-9.000,-13.000
60,100.000,6.500,4.500,-4.000,-9.000
61,86.000,5.700,3.000,-10.000,-13.000
62,84.000,5.000,2.500,-9.000,-13.000
63,70.000,5.100,3.300,-7.000,-12.000
64,69.000,5.200,3.100,-7.000,-12.000
65,79.000,4.700,3.000,-9.000,-14.000
66,93.000,5.300,3.300,-6.000,-12.000
67,91.000,6.300,3.200,-5.000,-9.000
68,98.000,6.200,3.100,-5.000,-9.000
69,97.000,6.500,3.500,-5.000,-7.000
70,95.000,5.700,3.800,-6.000,-9.000
71,86.000,5.800,2.800,-7.000,-10.000
72,92.000,5.900,2.900,-5.000,-10.000
73,88.000,6.000,3.400,-4.000,-9.000
74,92.000,6.700,4.300,-3.000,-7.000
75,84.000,7.100,3.500,-4.000,-8.000
76,95.000,6.900,3.700,-5.000,-9.000
77,97.000,6.500,3.600,-3.000,-8.000
78,92.000,6.300,4.100,-3.000,-5.000
79,93.000,6.500,3.900,-2.000,-6.000
80,86.000,5.700,3.100,-4.000,-8.000
81,92.000,6.200,2.800,-3.000,-6.000
82,92.000,5.300,2.800,-2.000,-5.000
83,99.000,7.200,4.800,0.000,-4.000
84,83.000,6.500,3.700,0.000,-2.000
85,86.000,7.100,3.600,0.000,-4.000
86,85.000,7.400,4.700,1.000,-3.000
87,87.000,7.400,4.000,0.000,-4.000
88,80.000,7.100,3.800,0.000,-5.000
89,75.000,6.300,3.100,1.000,-4.000
90,85.000,5.900,2.700,1.000,-3.000
91,96.000,6.000,3.100,2.000,-3.000
92,95.000,5.800,3.000,2.000,-1.000
93,83.000,5.300,2.600,3.000,-1.000
94,94.000,5.800,2.600,3.000,-1.000
95,94.000,6.600,3.400,4.000,1.000
96,70.000,6.500,3.300,2.000,0.000
97,74.000,6.100,3.300,2.000,-3.000
98,79.000,6.500,3.300,3.000,-1.000
99,82.000,6.300,3.400,5.000,0.000
100,81.000,5.300,3.600,5.000,0.000
101,62.000,4.300,2.200,8.000,1.000
102,66.000,6.300,3.600,7.000,1.000
103,68.000,5.300,2.400,7.000,2.000
104,76.000,4.900,2.400,7.000,2.000
105,78.000,4.900,2.300,6.000,2.000
106,75.000,5.700,3.500,7.000,2.000
107,65.000,5.200,3.000,6.000,1.000
108,71.000,4.700,2.700,8.000,1.000
109,72.000,4.700,2.300,10.000,3.000
110,61.000,4.900,2.000,12.000,4.000
111,66.000,5.900,3.000,14.000,5.000
112,59.000,6.500,3.100,12.000,6.000
113,45.000,6.300,2.700,13.000,5.000
114,55.000,7.200,3.500,15.000,6.000
115,65.000,7.600,4.600,15.000,8.000
116,66.000,6.100,3.200,13.000,7.000
117,61.000,7.400,3.600,11.000,5.000
118,72.000,7.800,3.900,10.000,3.000
119,69.000,7.100,3.900,9.000,3.000
120,71.000,6.900,3.400,10.000,3.000
121,55.000,6.500,3.700,12.000,4.000
122,79.000,5.100,2.800,11.000,5.000
123,69.000,6.300,3.300,14.000,6.000
124,72.000,6.700,3.400,11.000,6.000
125,55.000,6.600,2.400,11.000,5.000
126,45.000,6.700,3.200,9.000,3.000
127,58.000,5.400,2.700,12.000,4.000
128,61.000,6.100,2.600,16.000,5.000
129,52.000,6.900,3.700,12.000,8.000
130,38.000,5.600,3.200,15.000,5.000
131,64.000,5.700,3.200,14.000,6.000
132,68.000,5.700,2.900,16.000,7.000
